path,label,source,width,height,group,stratum
data/unified_waste/included/cardboard/garbage_classification__001506__a2d0c14c9ab5.jpg,cardboard,garbage_classification,300,300,51,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001507__87db237ee277.jpg,cardboard,trashnet,512,384,52,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001508__19d0276432f5.jpg,cardboard,garbage_classification,250,202,53,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001509__1542f73938c0.jpg,cardboard,trashnet,512,384,54,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001510__0e003abe46d5.jpg,cardboard,garbage_classification,474,474,55,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001511__301c76c99160.jpg,cardboard,garbage_classification,560,560,56,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001512__0239190f8696.jpg,cardboard,trashnet,512,384,57,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001513__646f4fda2960.jpg,cardboard,trashnet,512,384,58,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001514__f7e238b9a5d9.jpg,cardboard,garbage_classification,474,474,59,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001515__9918350a785e.jpg,cardboard,garbage_classification,1200,798,60,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001516__5ef3d6d67c57.jpg,cardboard,trashnet,512,384,61,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001517__1087bb242686.jpg,cardboard,garbage_classification,255,158,62,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001518__e24db5fd25af.jpg,cardboard,garbage_classification,225,225,63,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001519__a80a4bea8c03.jpg,cardboard,garbage_classification,256,197,64,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001520__05fa2d744523.jpg,cardboard,garbage_classification,474,560,65,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001521__7f32f29b6492.jpg,cardboard,garbage_classification,225,225,66,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001522__be1d56c261af.jpg,cardboard,garbage_classification,2000,2000,67,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001523__cf64f2119c91.jpg,cardboard,garbage_classification,225,225,68,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001524__21ddd960a66c.jpg,cardboard,garbage_classification,315,297,69,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001525__0a6616da420b.jpg,cardboard,garbage_classification,240,210,70,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001526__2900cc01a5e5.jpg,cardboard,garbage_classification,474,474,71,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001527__f50eb56a05fc.jpg,cardboard,trashnet,512,384,72,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001528__067c26f6d4d8.jpg,cardboard,garbage_classification,474,356,73,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001529__3dcc8913438e.jpg,cardboard,garbage_classification,1000,1000,74,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001530__b58fcc0ba75f.jpg,cardboard,garbage_classification,225,225,75,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001531__f896bf85fe48.jpg,cardboard,garbage_classification,306,304,76,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001532__68bb87383592.jpg,cardboard,trashnet,512,384,77,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001533__7c8abb862097.jpg,cardboard,trashnet,512,384,78,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001534__d672aa9c3112.jpg,cardboard,garbage_classification,240,320,79,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001535__f902030e910e.jpg,cardboard,garbage_classification,160,160,80,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001536__ac8105442e93.jpg,cardboard,garbage_classification,466,580,81,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001537__8014b4d96204.jpg,cardboard,garbage_classification,600,712,82,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001538__4b4320fd7a63.jpg,cardboard,trashnet,512,384,83,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001539__06e2e952a588.jpg,cardboard,garbage_classification,474,474,84,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001540__daa3d0f72201.jpg,cardboard,garbage_classification,700,1200,85,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001541__0117fb72d633.jpg,cardboard,garbage_classification,1200,1728,86,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001542__6244fbc96a04.jpg,cardboard,garbage_classification,300,300,87,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001543__7db4d8fe9553.jpg,cardboard,garbage_classification,1200,849,88,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001544__35f7b1e5ef18.jpg,cardboard,trashnet,512,384,89,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001545__af2cf3ff7806.jpg,cardboard,garbage_classification,225,225,90,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001546__4f294174f074.jpg,cardboard,garbage_classification,474,592,91,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001547__631721909287.jpg,cardboard,garbage_classification,180,180,92,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001548__d6f39825c3ba.jpg,cardboard,trashnet,512,384,93,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001549__e838f33d92e7.jpg,cardboard,garbage_classification,553,1024,94,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001550__3df2663fe00a.jpg,cardboard,garbage_classification,233,216,95,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001551__b08ca8bbe876.jpg,cardboard,trashnet,512,384,96,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001552__3f16ddd3d64d.jpg,cardboard,garbage_classification,474,313,97,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001553__32d9e9969b2f.jpg,cardboard,garbage_classification,150,300,98,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001554__e53307148855.jpg,cardboard,trashnet,512,384,99,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001555__a2f1e7799408.jpg,cardboard,garbage_classification,256,197,100,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001556__b17d866b13dd.jpg,cardboard,garbage_classification,474,296,101,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001557__7e4246ffb26c.jpg,cardboard,garbage_classification,900,1200,102,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001558__957105fca768.jpg,cardboard,garbage_classification,474,474,103,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001559__a3bf3ce3cfe6.jpg,cardboard,garbage_classification,257,196,104,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001560__d144036baec0.jpg,cardboard,garbage_classification,474,683,105,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001561__b9fdc87bb3be.jpg,cardboard,trashnet,512,384,106,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001562__7c6c05afbd32.jpg,cardboard,garbage_classification,474,723,107,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001563__ad33f087791f.jpg,cardboard,garbage_classification,150,300,108,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001564__037b4f64f8cd.jpg,cardboard,garbage_classification,294,171,109,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001565__23a198b31b11.jpg,cardboard,garbage_classification,301,167,110,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001566__a0b60f950a77.jpg,cardboard,garbage_classification,900,700,111,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001567__a76ae8ad05f4.jpg,cardboard,garbage_classification,225,225,112,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001568__e8cdb87768b2.jpg,cardboard,garbage_classification,225,225,113,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001569__b771631b077c.jpg,cardboard,garbage_classification,400,400,114,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001570__c4d83ddcc633.jpg,cardboard,garbage_classification,1600,1600,115,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001571__e83879c746a8.jpg,cardboard,garbage_classification,225,225,116,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001572__03e5b0714000.jpg,cardboard,garbage_classification,474,474,117,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001573__d7d41cb4725d.jpg,cardboard,garbage_classification,285,177,118,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001574__5cabe0ea255c.jpg,cardboard,trashnet,512,384,119,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001575__1bb074302635.jpg,cardboard,garbage_classification,248,485,120,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001576__0dbc28712528.jpg,cardboard,trashnet,512,384,121,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001577__6d84b5ffa6a4.jpg,cardboard,garbage_classification,400,500,122,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001578__0251a70ae929.jpg,cardboard,garbage_classification,219,230,123,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001579__da640f210f38.jpg,cardboard,garbage_classification,278,181,124,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001580__a1d93606e7b7.jpg,cardboard,garbage_classification,450,682,125,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001581__9ac7152f76d1.jpg,cardboard,garbage_classification,294,294,126,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001582__bbb9d55a9fa5.jpg,cardboard,trashnet,512,384,127,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001583__f6f8283f3881.jpg,cardboard,garbage_classification,708,708,128,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001584__c4ead84bf857.jpg,cardboard,trashnet,512,384,129,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001585__ce28fac21123.jpg,cardboard,garbage_classification,256,256,130,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001586__f54b346c24e8.jpg,cardboard,garbage_classification,335,150,131,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001587__5729f88f9b64.jpg,cardboard,garbage_classification,225,225,132,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001588__52c9ce97bd01.jpg,cardboard,garbage_classification,473,1478,133,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001589__77a109ec23f8.jpg,cardboard,garbage_classification,900,2751,134,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001590__a52df595ce56.jpg,cardboard,garbage_classification,261,193,135,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001591__a07e1ac1f91d.jpg,cardboard,garbage_classification,259,194,136,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001592__bde919d5ade2.jpg,cardboard,garbage_classification,259,194,137,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001593__443a400c9eec.jpg,cardboard,trashnet,512,384,138,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001594__2c1ef4ba49d7.jpg,cardboard,garbage_classification,250,250,139,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001595__7634a6435293.jpg,cardboard,garbage_classification,474,474,140,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001596__475ea548a94c.jpg,cardboard,garbage_classification,280,280,87,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001597__00205b4ac136.jpg,cardboard,garbage_classification,708,708,141,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001598__ce9c80d79777.jpg,cardboard,garbage_classification,474,867,142,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001599__6be8ce4006ec.jpg,cardboard,trashnet,512,384,143,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001600__794d5ad5e339.jpg,cardboard,garbage_classification,640,640,144,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001601__93078277ffad.jpg,cardboard,garbage_classification,768,1024,145,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001602__836502db8d5a.jpg,cardboard,trashnet,512,384,146,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001603__4a71d2e06c08.jpg,cardboard,garbage_classification,229,270,147,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001604__d2001e25f9b4.jpg,cardboard,trashnet,512,384,148,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001605__92addc703e17.jpg,cardboard,garbage_classification,562,800,149,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001606__caba2ba705af.jpg,cardboard,trashnet,512,384,150,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001607__6a9d06de1fd5.jpg,cardboard,trashnet,512,384,151,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001608__22f5f1ed8113.jpg,cardboard,trashnet,512,384,152,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001609__ed4debaaa6dd.jpg,cardboard,garbage_classification,743,1024,153,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001610__b3df51f651e3.jpg,cardboard,trashnet,512,384,154,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001611__160bd52ae4dd.jpg,cardboard,trashnet,512,384,155,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001612__afb40259ddf8.jpg,cardboard,trashnet,512,384,156,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001613__7e8fe433bf1c.jpg,cardboard,garbage_classification,217,300,157,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001614__eca60cb3438b.jpg,cardboard,garbage_classification,225,225,158,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001615__e99c920f99ea.jpg,cardboard,garbage_classification,225,225,159,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001616__71f5cbfdfc55.jpg,cardboard,trashnet,512,384,160,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001617__9fad5aeed384.jpg,cardboard,garbage_classification,615,615,161,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001618__cd840045ede5.jpg,cardboard,trashnet,512,384,162,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001619__0cb21364ad3d.jpg,cardboard,trashnet,512,384,163,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001620__6a42cfe3a12f.jpg,cardboard,trashnet,512,384,164,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001621__186de1825479.jpg,cardboard,garbage_classification,321,480,165,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001622__85d26017f639.jpg,cardboard,garbage_classification,474,474,166,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001623__d3b83a6927e7.jpg,cardboard,garbage_classification,480,480,167,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001624__01fdacdd0e15.jpg,cardboard,garbage_classification,282,270,168,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001625__e285f06d9185.jpg,cardboard,garbage_classification,281,500,169,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001626__8c413618fe86.jpg,cardboard,garbage_classification,225,225,170,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001627__40abe469fb67.jpg,cardboard,garbage_classification,180,180,171,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001628__a538a32b3e4a.jpg,cardboard,trashnet,512,384,172,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001629__8f85ad211d89.jpg,cardboard,trashnet,512,384,173,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001630__2744b2ac5131.jpg,cardboard,trashnet,512,384,174,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001631__506f2f897fcd.jpg,cardboard,trashnet,512,384,175,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001632__a0da15fe1413.jpg,cardboard,garbage_classification,225,225,176,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001633__ee5f487d6b98.jpg,cardboard,trashnet,512,384,177,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001634__faf63db2ad55.jpg,cardboard,garbage_classification,620,620,178,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001635__0dc5fb2cc74d.jpg,cardboard,garbage_classification,194,259,179,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001636__aad954bf15ef.jpg,cardboard,garbage_classification,275,183,180,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001637__2ea20b8a9b0d.jpg,cardboard,garbage_classification,225,225,181,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001638__41ffef94e579.jpg,cardboard,garbage_classification,240,300,182,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001639__f7923e9f5031.jpg,cardboard,trashnet,512,384,183,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001640__203f4faa0bc4.jpg,cardboard,garbage_classification,301,270,184,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001641__f0749f7c6f02.jpg,cardboard,garbage_classification,225,224,185,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001642__ea27375de6e9.jpg,cardboard,garbage_classification,328,270,186,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001643__6b2f5b0c1dd1.jpg,cardboard,trashnet,512,384,187,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001644__92514f4f93c7.jpg,cardboard,garbage_classification,160,160,80,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001645__bb092fcb0301.jpg,cardboard,garbage_classification,220,183,188,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001646__616ee23856ac.jpg,cardboard,garbage_classification,168,300,189,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001647__332ba1fc6340.jpg,cardboard,garbage_classification,225,225,190,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001648__43aafe8fdb7b.jpg,cardboard,garbage_classification,259,194,191,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001649__9843550e9383.jpg,cardboard,garbage_classification,474,474,192,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001650__b747b0914f0b.jpg,cardboard,trashnet,512,384,193,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001651__bd5a74dcced4.jpg,cardboard,garbage_classification,720,960,194,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001652__1219173e4b2c.jpg,cardboard,garbage_classification,800,370,195,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001653__247a0298fcb4.jpg,cardboard,trashnet,512,384,196,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001654__e119d4fa214e.jpg,cardboard,garbage_classification,276,182,197,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001655__623fd34dcd93.jpg,cardboard,garbage_classification,800,600,198,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001656__2b6400679236.jpg,cardboard,garbage_classification,474,365,199,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001657__c6a1af161378.jpg,cardboard,garbage_classification,474,474,200,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001658__bae86c2f4262.jpg,cardboard,trashnet,512,384,201,cardboard|trashnet
data/unified_waste/included/cardboard/garbage_classification__001659__cdc03f464789.jpg,cardboard,garbage_classification,225,225,202,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001660__d5f554d12a71.jpg,cardboard,garbage_classification,290,174,203,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001661__0ad6bc3bfb43.jpg,cardboard,garbage_classification,225,225,204,cardboard|garbage_classification
data/unified_waste/included/cardboard/garbage_classification__001662__aa38a233f434.jpg,cardboard,trashnet,512,384,205,cardboard|trashnet
